district,state,total_outlay_lakh,water_outlay_lakh,road_outlay_lakh,education_outlay_lakh,source_publisher
East Godavari,Andhra Pradesh,82454.94,28859.23,32981.98,20613.74,State Finance Department Annual Financial Statement
Eluru,Andhra Pradesh,93226.5,32629.27,37290.6,23306.62,State Finance Department Annual Financial Statement
Guntur,Andhra Pradesh,94098.38,32934.43,37639.35,23524.6,State Finance Department Annual Financial Statement
Kakinada,Andhra Pradesh,94156.83,32954.89,37662.73,23539.21,State Finance Department Annual Financial Statement
Kurnool,Andhra Pradesh,102225.87,35779.05,40890.35,25556.47,State Finance Department Annual Financial Statement
Nandyal,Andhra Pradesh,80179.96,28062.99,32071.98,20044.99,State Finance Department Annual Financial Statement
NTR,Andhra Pradesh,99836.6,34942.81,39934.64,24959.15,State Finance Department Annual Financial Statement
Palnadu,Andhra Pradesh,91877.54,32157.14,36751.02,22969.38,State Finance Department Annual Financial Statement
Parvathipuram Manyam,Andhra Pradesh,41640.3,14574.1,16656.12,10410.08,State Finance Department Annual Financial Statement
Prakasam,Andhra Pradesh,102961.17,36036.41,41184.47,25740.29,State Finance Department Annual Financial Statement
Sri Potti Sriramulu Nellore,Andhra Pradesh,111137.04,38897.96,44454.82,27784.26,State Finance Department Annual Financial Statement
Sri Sathya Sai,Andhra Pradesh,82801.93,28980.68,33120.77,20700.48,State Finance Department Annual Financial Statement
Srikakulam,Andhra Pradesh,98616.19,34515.67,39446.48,24654.05,State Finance Department Annual Financial Statement
Tirupati,Andhra Pradesh,98864.28,34602.5,39545.71,24716.07,State Finance Department Annual Financial Statement
Visakhapatnam,Andhra Pradesh,88179.48,30862.82,35271.79,22044.87,State Finance Department Annual Financial Statement
Vizianagaram,Andhra Pradesh,86887.8,30410.73,34755.12,21721.95,State Finance Department Annual Financial Statement
West Godavari,Andhra Pradesh,80097.07,28033.97,32038.83,20024.27,State Finance Department Annual Financial Statement
YSR Kadapa,Andhra Pradesh,92729.43,32455.3,37091.77,23182.36,State Finance Department Annual Financial Statement
Adilabad,Telangana,31903.74,11166.31,12761.5,7975.94,State Finance Department Annual Financial Statement
Bhadradri Kothagudem,Telangana,48116.74,16840.86,19246.7,12029.18,State Finance Department Annual Financial Statement
Hanamkonda,Telangana,48777.57,17072.15,19511.03,12194.39,State Finance Department Annual Financial Statement
Hyderabad,Telangana,177449.54,62107.34,70979.82,44362.39,State Finance Department Annual Financial Statement
Jagtial,Telangana,44343.76,15520.32,17737.5,11085.94,State Finance Department Annual Financial Statement
Jangaon,Telangana,25486.92,8920.42,10194.77,6371.73,State Finance Department Annual Financial Statement
Jayashankar Bhupalpally,Telangana,18552.69,6493.44,7421.08,4638.17,State Finance Department Annual Financial Statement
Jogulamba Gadwal,Telangana,27449.55,9607.34,10979.82,6862.39,State Finance Department Annual Financial Statement
Kamareddy,Telangana,43768.12,15318.84,17507.25,10942.03,State Finance Department Annual Financial Statement
Karimnagar,Telangana,45256.99,15839.95,18102.8,11314.25,State Finance Department Annual Financial Statement
Khammam,Telangana,63073.75,22075.81,25229.5,15768.44,State Finance Department Annual Financial Statement
Kumuram Bheem Asifabad,Telangana,23211.54,8124.04,9284.62,5802.89,State Finance Department Annual Financial Statement
Mahabubabad,Telangana,34854.71,12199.15,13941.88,8713.68,State Finance Department Annual Financial Statement
Mahabubnagar,Telangana,66904.96,23416.74,26761.98,16726.24,State Finance Department Annual Financial Statement
Mancherial,Telangana,36316.67,12710.83,14526.67,9079.17,State Finance Department Annual Financial Statement
Medak,Telangana,34534.26,12086.99,13813.7,8633.57,State Finance Department Annual Financial Statement
Medchal-Malkajgiri,Telangana,109803.28,38431.15,43921.31,27450.82,State Finance Department Annual Financial Statement
Mulugu,Telangana,13273.69,4645.79,5309.48,3318.42,State Finance Department Annual Financial Statement
Nagarkurnool,Telangana,38779.47,13572.81,15511.79,9694.87,State Finance Department Annual Financial Statement
Nalgonda,Telangana,72828.72,25490.05,29131.49,18207.18,State Finance Department Annual Financial Statement
Narayanpet,Telangana,25509.33,8928.27,10203.73,6377.33,State Finance Department Annual Financial Statement
Nirmal,Telangana,31923.67,11173.28,12769.47,7980.92,State Finance Department Annual Financial Statement
Nizamabad,Telangana,70695.99,24743.6,28278.4,17674.0,State Finance Department Annual Financial Statement
Peddapalli,Telangana,35789.94,12526.48,14315.98,8947.49,State Finance Department Annual Financial Statement
Rajanna Sircilla,Telangana,24841.67,8694.58,9936.67,6210.42,State Finance Department Annual Financial Statement
Rangareddy,Telangana,110081.93,38528.68,44032.77,27520.48,State Finance Department Annual Financial Statement
Sangareddy,Telangana,68743.26,24060.14,27497.3,17185.81,State Finance Department Annual Financial Statement
Siddipet,Telangana,45542.92,15940.02,18217.17,11385.73,State Finance Department Annual Financial Statement
Suryapet,Telangana,49480.2,17318.07,19792.08,12370.05,State Finance Department Annual Financial Statement
Vikarabad,Telangana,41721.3,14602.45,16688.52,10430.33,State Finance Department Annual Financial Statement
Wanaparthy,Telangana,25999.11,9099.69,10399.64,6499.78,State Finance Department Annual Financial Statement
Warangal,Telangana,32348.11,11321.84,12939.24,8087.03,State Finance Department Annual Financial Statement
Yadadri Bhuvanagiri,Telangana,33275.16,11646.31,13310.06,8318.79,State Finance Department Annual Financial Statement
Krishna,Andhra Pradesh,78078.55,27327.49,31231.42,19519.64,State Finance Department Annual Financial Statement
