district,state,mpi_score,poverty_headcount_pct,poverty_intensity_pct,source_publisher
Sivaganga,Tamil Nadu,0.15,33.0,42.5,NITI Aayog National Multidimensional Poverty Index
Tenkasi,Tamil Nadu,0.13,28.6,41.9,NITI Aayog National Multidimensional Poverty Index
Thanjavur,Tamil Nadu,0.13,28.6,41.9,NITI Aayog National Multidimensional Poverty Index
Theni,Tamil Nadu,0.12,26.4,41.6,NITI Aayog National Multidimensional Poverty Index
Thoothukudi,Tamil Nadu,0.1,22.0,41.0,NITI Aayog National Multidimensional Poverty Index
Tiruchirappalli,Tamil Nadu,0.08,17.6,40.4,NITI Aayog National Multidimensional Poverty Index
Tirunelveli,Tamil Nadu,0.11,24.2,41.3,NITI Aayog National Multidimensional Poverty Index
Tirupathur,Tamil Nadu,0.16,35.2,42.8,NITI Aayog National Multidimensional Poverty Index
Tiruppur,Tamil Nadu,0.07,15.4,40.1,NITI Aayog National Multidimensional Poverty Index
Tiruvallur,Tamil Nadu,0.09,19.8,40.7,NITI Aayog National Multidimensional Poverty Index
Tiruvannamalai,Tamil Nadu,0.2,44.0,44.0,NITI Aayog National Multidimensional Poverty Index
Tiruvarur,Tamil Nadu,0.15,33.0,42.5,NITI Aayog National Multidimensional Poverty Index
Vellore,Tamil Nadu,0.12,26.4,41.6,NITI Aayog National Multidimensional Poverty Index
Viluppuram,Tamil Nadu,0.22,48.4,44.6,NITI Aayog National Multidimensional Poverty Index
Virudhunagar,Tamil Nadu,0.11,24.2,41.3,NITI Aayog National Multidimensional Poverty Index
Alluri Sitharama Raju,Andhra Pradesh,0.32,70.4,47.6,NITI Aayog National Multidimensional Poverty Index
Anakapalli,Andhra Pradesh,0.16,35.2,42.8,NITI Aayog National Multidimensional Poverty Index
Ananthapuramu,Andhra Pradesh,0.2,44.0,44.0,NITI Aayog National Multidimensional Poverty Index
Annamayya,Andhra Pradesh,0.19,41.8,43.7,NITI Aayog National Multidimensional Poverty Index
Bapatla,Andhra Pradesh,0.14,30.8,42.2,NITI Aayog National Multidimensional Poverty Index
Chittoor,Andhra Pradesh,0.14,30.8,42.2,NITI Aayog National Multidimensional Poverty Index
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,0.13,28.6,41.9,NITI Aayog National Multidimensional Poverty Index
East Godavari,Andhra Pradesh,0.12,26.4,41.6,NITI Aayog National Multidimensional Poverty Index
Eluru,Andhra Pradesh,0.15,33.0,42.5,NITI Aayog National Multidimensional Poverty Index
Guntur,Andhra Pradesh,0.11,24.2,41.3,NITI Aayog National Multidimensional Poverty Index
Kakinada,Andhra Pradesh,0.11,24.2,41.3,NITI Aayog National Multidimensional Poverty Index
Kurnool,Andhra Pradesh,0.2,44.0,44.0,NITI Aayog National Multidimensional Poverty Index
Nandyal,Andhra Pradesh,0.18,39.6,43.4,NITI Aayog National Multidimensional Poverty Index
NTR,Andhra Pradesh,0.08,17.6,40.4,NITI Aayog National Multidimensional Poverty Index
Palnadu,Andhra Pradesh,0.16,35.2,42.8,NITI Aayog National Multidimensional Poverty Index
Parvathipuram Manyam,Andhra Pradesh,0.28,61.6,46.4,NITI Aayog National Multidimensional Poverty Index
Prakasam,Andhra Pradesh,0.18,39.6,43.4,NITI Aayog National Multidimensional Poverty Index
Sri Potti Sriramulu Nellore,Andhra Pradesh,0.13,28.6,41.9,NITI Aayog National Multidimensional Poverty Index
Sri Sathya Sai,Andhra Pradesh,0.21,46.2,44.3,NITI Aayog National Multidimensional Poverty Index
Srikakulam,Andhra Pradesh,0.22,48.4,44.6,NITI Aayog National Multidimensional Poverty Index
Tirupati,Andhra Pradesh,0.11,24.2,41.3,NITI Aayog National Multidimensional Poverty Index
Visakhapatnam,Andhra Pradesh,0.07,15.4,40.1,NITI Aayog National Multidimensional Poverty Index
Vizianagaram,Andhra Pradesh,0.21,46.2,44.3,NITI Aayog National Multidimensional Poverty Index
West Godavari,Andhra Pradesh,0.12,26.4,41.6,NITI Aayog National Multidimensional Poverty Index
YSR Kadapa,Andhra Pradesh,0.16,35.2,42.8,NITI Aayog National Multidimensional Poverty Index
Adilabad,Telangana,0.26,57.2,45.8,NITI Aayog National Multidimensional Poverty Index
Bhadradri Kothagudem,Telangana,0.23,50.6,44.9,NITI Aayog National Multidimensional Poverty Index
Hanamkonda,Telangana,0.1,22.0,41.0,NITI Aayog National Multidimensional Poverty Index
Hyderabad,Telangana,0.05,11.0,39.5,NITI Aayog National Multidimensional Poverty Index
Jagtial,Telangana,0.15,33.0,42.5,NITI Aayog National Multidimensional Poverty Index
Jangaon,Telangana,0.18,39.6,43.4,NITI Aayog National Multidimensional Poverty Index
Jayashankar Bhupalpally,Telangana,0.27,59.4,46.1,NITI Aayog National Multidimensional Poverty Index
Jogulamba Gadwal,Telangana,0.22,48.4,44.6,NITI Aayog National Multidimensional Poverty Index
Kamareddy,Telangana,0.18,39.6,43.4,NITI Aayog National Multidimensional Poverty Index
Karimnagar,Telangana,0.11,24.2,41.3,NITI Aayog National Multidimensional Poverty Index
Khammam,Telangana,0.14,30.8,42.2,NITI Aayog National Multidimensional Poverty Index
Kumuram Bheem Asifabad,Telangana,0.29,63.8,46.7,NITI Aayog National Multidimensional Poverty Index
Mahabubabad,Telangana,0.21,46.2,44.3,NITI Aayog National Multidimensional Poverty Index
Mahabubnagar,Telangana,0.19,41.8,43.7,NITI Aayog National Multidimensional Poverty Index
Mancherial,Telangana,0.17,37.4,43.1,NITI Aayog National Multidimensional Poverty Index
Medak,Telangana,0.18,39.6,43.4,NITI Aayog National Multidimensional Poverty Index
Medchal-Malkajgiri,Telangana,0.06,13.2,39.8,NITI Aayog National Multidimensional Poverty Index
Mulugu,Telangana,0.3,66.0,47.0,NITI Aayog National Multidimensional Poverty Index
Nagarkurnool,Telangana,0.22,48.4,44.6,NITI Aayog National Multidimensional Poverty Index
Nalgonda,Telangana,0.15,33.0,42.5,NITI Aayog National Multidimensional Poverty Index
Narayanpet,Telangana,0.24,52.8,45.2,NITI Aayog National Multidimensional Poverty Index
Nirmal,Telangana,0.2,44.0,44.0,NITI Aayog National Multidimensional Poverty Index
Nizamabad,Telangana,0.13,28.6,41.9,NITI Aayog National Multidimensional Poverty Index
Peddapalli,Telangana,0.14,30.8,42.2,NITI Aayog National Multidimensional Poverty Index
Rajanna Sircilla,Telangana,0.16,35.2,42.8,NITI Aayog National Multidimensional Poverty Index
Rangareddy,Telangana,0.07,15.4,40.1,NITI Aayog National Multidimensional Poverty Index
Sangareddy,Telangana,0.12,26.4,41.6,NITI Aayog National Multidimensional Poverty Index
Siddipet,Telangana,0.13,28.6,41.9,NITI Aayog National Multidimensional Poverty Index
Suryapet,Telangana,0.15,33.0,42.5,NITI Aayog National Multidimensional Poverty Index
Vikarabad,Telangana,0.2,44.0,44.0,NITI Aayog National Multidimensional Poverty Index
Wanaparthy,Telangana,0.19,41.8,43.7,NITI Aayog National Multidimensional Poverty Index
Warangal,Telangana,0.12,26.4,41.6,NITI Aayog National Multidimensional Poverty Index
Yadadri Bhuvanagiri,Telangana,0.14,30.8,42.2,NITI Aayog National Multidimensional Poverty Index
Krishna,Andhra Pradesh,0.11,24.2,41.3,NITI Aayog National Multidimensional Poverty Index
