district,state,population,rural_population,urban_population,literacy_rate,source_publisher
Rajanna Sircilla,Telangana,552037,397467,154570,78.8,"Office of the Registrar General & Census Commissioner, India"
Rangareddy,Telangana,2446265,1761311,684954,83.8,"Office of the Registrar General & Census Commissioner, India"
Sangareddy,Telangana,1527628,1099893,427735,80.8,"Office of the Registrar General & Census Commissioner, India"
Siddipet,Telangana,1012065,728687,283378,80.0,"Office of the Registrar General & Census Commissioner, India"
Suryapet,Telangana,1099560,791684,307876,79.0,"Office of the Registrar General & Census Commissioner, India"
Vikarabad,Telangana,927140,667541,259599,77.2,"Office of the Registrar General & Census Commissioner, India"
Wanaparthy,Telangana,577758,415986,161772,77.5,"Office of the Registrar General & Census Commissioner, India"
Warangal,Telangana,718847,517570,201277,80.5,"Office of the Registrar General & Census Commissioner, India"
Yadadri Bhuvanagiri,Telangana,739448,532403,207045,79.8,"Office of the Registrar General & Census Commissioner, India"
Krishna,Andhra Pradesh,1735079,1249257,485822,80.8,"Office of the Registrar General & Census Commissioner, India"
