district,state,stunting_rate,anemia_rate,full_immunization_pct,clean_cooking_fuel_pct,source_publisher
Ranipet,Tamil Nadu,28.9,44.3,85.8,71.1,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Salem,Tamil Nadu,28.1,43.7,86.2,72.9,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Sivaganga,Tamil Nadu,30.9,46.1,84.6,65.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Tenkasi,Tamil Nadu,29.6,44.9,85.4,69.3,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Thanjavur,Tamil Nadu,29.9,45.2,85.2,68.4,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Theni,Tamil Nadu,28.5,44.0,86.0,72.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Thoothukudi,Tamil Nadu,27.5,43.1,86.6,74.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Tiruchirappalli,Tamil Nadu,26.1,41.9,87.4,76.5,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Tirunelveli,Tamil Nadu,27.8,43.4,86.4,72.9,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Tirupathur,Tamil Nadu,32.0,47.0,84.0,63.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Tiruppur,Tamil Nadu,25.4,41.3,87.8,78.3,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Tiruvallur,Tamil Nadu,26.4,42.2,87.2,75.6,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Tiruvannamalai,Tamil Nadu,34.5,49.1,82.6,57.6,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Tiruvarur,Tamil Nadu,31.3,46.4,84.4,63.9,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Vellore,Tamil Nadu,29.2,44.6,85.6,70.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Viluppuram,Tamil Nadu,35.1,49.7,82.2,55.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Virudhunagar,Tamil Nadu,28.5,44.0,86.0,72.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Alluri Sitharama Raju,Andhra Pradesh,40.8,54.5,79.0,43.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Anakapalli,Andhra Pradesh,31.3,46.4,84.4,64.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Ananthapuramu,Andhra Pradesh,33.8,48.5,83.0,55.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Annamayya,Andhra Pradesh,33.4,48.2,83.2,58.5,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Bapatla,Andhra Pradesh,30.6,45.8,84.8,66.6,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Chittoor,Andhra Pradesh,30.2,45.5,85.0,67.5,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,29.6,44.9,85.4,70.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
East Godavari,Andhra Pradesh,28.9,44.3,85.8,72.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Eluru,Andhra Pradesh,30.9,46.1,84.6,65.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Guntur,Andhra Pradesh,27.8,43.4,86.4,73.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Kakinada,Andhra Pradesh,28.5,44.0,86.0,72.9,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Kurnool,Andhra Pradesh,34.1,48.8,82.8,56.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Nandyal,Andhra Pradesh,32.7,47.6,83.6,61.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
NTR,Andhra Pradesh,25.7,41.6,87.6,78.3,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Palnadu,Andhra Pradesh,32.0,47.0,84.0,63.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Parvathipuram Manyam,Andhra Pradesh,38.3,52.4,80.4,48.6,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Prakasam,Andhra Pradesh,33.0,47.9,83.4,59.4,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Sri Potti Sriramulu Nellore,Andhra Pradesh,29.9,45.2,85.2,68.4,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Sri Sathya Sai,Andhra Pradesh,34.5,49.1,82.6,54.9,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Srikakulam,Andhra Pradesh,34.8,49.4,82.4,56.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Tirupati,Andhra Pradesh,28.1,43.7,86.2,74.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Visakhapatnam,Andhra Pradesh,25.0,41.0,88.0,79.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Vizianagaram,Andhra Pradesh,34.1,48.8,82.8,57.6,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
West Godavari,Andhra Pradesh,29.2,44.6,85.6,71.1,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
YSR Kadapa,Andhra Pradesh,31.6,46.7,84.2,63.9,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Adilabad,Telangana,36.9,51.2,81.2,52.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Bhadradri Kothagudem,Telangana,35.5,50.0,82.0,54.9,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Hanamkonda,Telangana,27.5,43.1,86.6,74.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Hyderabad,Telangana,22.9,39.2,89.2,81.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Jagtial,Telangana,31.3,46.4,84.4,64.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Jangaon,Telangana,32.7,47.6,83.6,61.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Jayashankar Bhupalpally,Telangana,37.2,51.5,81.0,50.4,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Jogulamba Gadwal,Telangana,34.8,49.4,82.4,56.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Kamareddy,Telangana,33.0,47.9,83.4,60.3,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Karimnagar,Telangana,28.1,43.7,86.2,72.9,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Khammam,Telangana,30.2,45.5,85.0,67.5,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Kumuram Bheem Asifabad,Telangana,38.6,52.7,80.2,46.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Mahabubabad,Telangana,34.5,49.1,82.6,57.6,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Mahabubnagar,Telangana,33.4,48.2,83.2,59.4,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Mancherial,Telangana,32.4,47.3,83.8,63.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Medak,Telangana,32.7,47.6,83.6,62.1,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Medchal-Malkajgiri,Telangana,24.3,40.4,88.4,79.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Mulugu,Telangana,39.3,53.3,79.8,45.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Nagarkurnool,Telangana,35.1,49.7,82.2,55.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Nalgonda,Telangana,30.9,46.1,84.6,65.7,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Narayanpet,Telangana,35.9,50.3,81.8,53.1,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Nirmal,Telangana,34.1,48.8,82.8,58.5,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Nizamabad,Telangana,29.6,44.9,85.4,69.3,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Peddapalli,Telangana,30.6,45.8,84.8,66.6,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Rajanna Sircilla,Telangana,31.6,46.7,84.2,63.9,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Rangareddy,Telangana,24.6,40.7,88.2,79.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Sangareddy,Telangana,28.9,44.3,85.8,71.1,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Siddipet,Telangana,29.9,45.2,85.2,68.4,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Suryapet,Telangana,31.3,46.4,84.4,64.8,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Vikarabad,Telangana,33.8,48.5,83.0,58.5,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Wanaparthy,Telangana,33.4,48.2,83.2,59.4,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Warangal,Telangana,29.2,44.6,85.6,70.2,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Yadadri Bhuvanagiri,Telangana,30.2,45.5,85.0,67.5,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
Krishna,Andhra Pradesh,28.9,44.3,85.8,72.0,"Ministry of Health and Family Welfare (MoHFW), NFHS-5"
