district,state,is_aspirational,delta_rank,priority_sector,source_publisher
YSR Kadapa,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Adilabad,Telangana,1,15,Water & Sanitation,NITI Aayog Aspirational Districts Program
Bhadradri Kothagudem,Telangana,1,16,Water & Sanitation,NITI Aayog Aspirational Districts Program
Hanamkonda,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Hyderabad,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Jagtial,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Jangaon,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Jayashankar Bhupalpally,Telangana,1,17,Water & Sanitation,NITI Aayog Aspirational Districts Program
Jogulamba Gadwal,Telangana,1,18,Water & Sanitation,NITI Aayog Aspirational Districts Program
Kamareddy,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Karimnagar,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Khammam,Telangana,1,19,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Kumuram Bheem Asifabad,Telangana,1,20,Water & Sanitation,NITI Aayog Aspirational Districts Program
Mahabubabad,Telangana,1,21,Water & Sanitation,NITI Aayog Aspirational Districts Program
Mahabubnagar,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Mancherial,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Medak,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Medchal-Malkajgiri,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Mulugu,Telangana,1,22,Water & Sanitation,NITI Aayog Aspirational Districts Program
Nagarkurnool,Telangana,1,23,Water & Sanitation,NITI Aayog Aspirational Districts Program
Nalgonda,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Narayanpet,Telangana,1,24,Water & Sanitation,NITI Aayog Aspirational Districts Program
Nirmal,Telangana,1,25,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Nizamabad,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Peddapalli,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Rajanna Sircilla,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Rangareddy,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Sangareddy,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Siddipet,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Suryapet,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Vikarabad,Telangana,1,26,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Wanaparthy,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Warangal,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Yadadri Bhuvanagiri,Telangana,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
Krishna,Andhra Pradesh,0,0,Rural Roads & Connectivity,NITI Aayog Aspirational Districts Program
