district,state,deprivation_index,households_deprived,sc_st_households_pct,female_headed_households_pct,source_publisher
Thanjavur,Tamil Nadu,0.34,170417,35.8,18.2,"Ministry of Rural Development (MoRD), Govt of India"
Theni,Tamil Nadu,0.3,77868,33.0,17.0,"Ministry of Rural Development (MoRD), Govt of India"
Thoothukudi,Tamil Nadu,0.27,98447,30.9,16.1,"Ministry of Rural Development (MoRD), Govt of India"
Tiruchirappalli,Tamil Nadu,0.23,130442,28.1,14.9,"Ministry of Rural Development (MoRD), Govt of India"
Tirunelveli,Tamil Nadu,0.28,97139,31.6,16.4,"Ministry of Rural Development (MoRD), Govt of India"
Tirupathur,Tamil Nadu,0.4,92650,40.0,20.0,"Ministry of Rural Development (MoRD), Govt of India"
Tiruppur,Tamil Nadu,0.21,108458,26.7,14.3,"Ministry of Rural Development (MoRD), Govt of India"
Tiruvallur,Tamil Nadu,0.24,186405,28.8,15.2,"Ministry of Rural Development (MoRD), Govt of India"
Tiruvannamalai,Tamil Nadu,0.47,241352,44.9,22.1,"Ministry of Rural Development (MoRD), Govt of India"
Tiruvarur,Tamil Nadu,0.38,100088,38.6,19.4,"Ministry of Rural Development (MoRD), Govt of India"
Vellore,Tamil Nadu,0.32,107616,34.4,17.6,"Ministry of Rural Development (MoRD), Govt of India"
Viluppuram,Tamil Nadu,0.49,213629,46.3,22.7,"Ministry of Rural Development (MoRD), Govt of India"
Virudhunagar,Tamil Nadu,0.3,121392,33.0,17.0,"Ministry of Rural Development (MoRD), Govt of India"
Alluri Sitharama Raju,Andhra Pradesh,0.65,129181,57.5,27.5,"Ministry of Rural Development (MoRD), Govt of India"
Anakapalli,Andhra Pradesh,0.38,136720,38.6,19.4,"Ministry of Rural Development (MoRD), Govt of India"
Ananthapuramu,Andhra Pradesh,0.45,210103,43.5,21.5,"Ministry of Rural Development (MoRD), Govt of India"
Annamayya,Andhra Pradesh,0.44,155586,42.8,21.2,"Ministry of Rural Development (MoRD), Govt of India"
Bapatla,Andhra Pradesh,0.36,119018,37.2,18.8,"Ministry of Rural Development (MoRD), Govt of India"
Chittoor,Andhra Pradesh,0.35,136569,36.5,18.5,"Ministry of Rural Development (MoRD), Govt of India"
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,0.33,118187,35.1,17.9,"Ministry of Rural Development (MoRD), Govt of India"
East Godavari,Andhra Pradesh,0.31,118337,33.7,17.3,"Ministry of Rural Development (MoRD), Govt of India"
Eluru,Andhra Pradesh,0.37,159693,37.9,19.1,"Ministry of Rural Development (MoRD), Govt of India"
Guntur,Andhra Pradesh,0.28,121979,31.6,16.4,"Ministry of Rural Development (MoRD), Govt of India"
Kakinada,Andhra Pradesh,0.3,130773,33.0,17.0,"Ministry of Rural Development (MoRD), Govt of India"
Kurnool,Andhra Pradesh,0.46,217702,44.2,21.8,"Ministry of Rural Development (MoRD), Govt of India"
Nandyal,Andhra Pradesh,0.42,155905,41.4,20.6,"Ministry of Rural Development (MoRD), Govt of India"
NTR,Andhra Pradesh,0.22,101685,27.4,14.6,"Ministry of Rural Development (MoRD), Govt of India"
Palnadu,Andhra Pradesh,0.4,170143,40.0,20.0,"Ministry of Rural Development (MoRD), Govt of India"
Parvathipuram Manyam,Andhra Pradesh,0.58,111811,52.6,25.4,"Ministry of Rural Development (MoRD), Govt of India"
Prakasam,Andhra Pradesh,0.43,204968,42.1,20.9,"Ministry of Rural Development (MoRD), Govt of India"
Sri Potti Sriramulu Nellore,Andhra Pradesh,0.34,174937,35.8,18.2,"Ministry of Rural Development (MoRD), Govt of India"
Sri Sathya Sai,Andhra Pradesh,0.47,180170,44.9,22.1,"Ministry of Rural Development (MoRD), Govt of India"
Srikakulam,Andhra Pradesh,0.48,219146,45.6,22.4,"Ministry of Rural Development (MoRD), Govt of India"
Tirupati,Andhra Pradesh,0.29,132734,32.3,16.7,"Ministry of Rural Development (MoRD), Govt of India"
Visakhapatnam,Andhra Pradesh,0.2,81647,26.0,14.0,"Ministry of Rural Development (MoRD), Govt of India"
Vizianagaram,Andhra Pradesh,0.46,185038,44.2,21.8,"Ministry of Rural Development (MoRD), Govt of India"
West Godavari,Andhra Pradesh,0.32,118662,34.4,17.6,"Ministry of Rural Development (MoRD), Govt of India"
YSR Kadapa,Andhra Pradesh,0.39,167427,39.3,19.7,"Ministry of Rural Development (MoRD), Govt of India"
Adilabad,Telangana,0.54,79759,49.8,24.2,"Ministry of Rural Development (MoRD), Govt of India"
Bhadradri Kothagudem,Telangana,0.5,111381,47.0,23.0,"Ministry of Rural Development (MoRD), Govt of India"
Hanamkonda,Telangana,0.27,60971,30.9,16.1,"Ministry of Rural Development (MoRD), Govt of India"
Hyderabad,Telangana,0.14,115013,21.8,12.2,"Ministry of Rural Development (MoRD), Govt of India"
Jagtial,Telangana,0.38,78012,38.6,19.4,"Ministry of Rural Development (MoRD), Govt of India"
Jangaon,Telangana,0.42,49557,41.4,20.6,"Ministry of Rural Development (MoRD), Govt of India"
Jayashankar Bhupalpally,Telangana,0.55,47240,50.5,24.5,"Ministry of Rural Development (MoRD), Govt of India"
Jogulamba Gadwal,Telangana,0.48,60998,45.6,22.4,"Ministry of Rural Development (MoRD), Govt of India"
Kamareddy,Telangana,0.43,87130,42.1,20.9,"Ministry of Rural Development (MoRD), Govt of India"
Karimnagar,Telangana,0.29,60761,32.3,16.7,"Ministry of Rural Development (MoRD), Govt of India"
Khammam,Telangana,0.35,102202,36.5,18.5,"Ministry of Rural Development (MoRD), Govt of India"
Kumuram Bheem Asifabad,Telangana,0.59,63401,53.3,25.7,"Ministry of Rural Development (MoRD), Govt of India"
Mahabubabad,Telangana,0.47,75841,44.9,22.1,"Ministry of Rural Development (MoRD), Govt of India"
Mahabubnagar,Telangana,0.44,136287,42.8,21.2,"Ministry of Rural Development (MoRD), Govt of India"
Mancherial,Telangana,0.41,68934,40.7,20.3,"Ministry of Rural Development (MoRD), Govt of India"
Medak,Telangana,0.42,67149,41.4,20.6,"Ministry of Rural Development (MoRD), Govt of India"
Medchal-Malkajgiri,Telangana,0.18,91502,24.6,13.4,"Ministry of Rural Development (MoRD), Govt of India"
Mulugu,Telangana,0.61,37485,54.7,26.3,"Ministry of Rural Development (MoRD), Govt of India"
Nagarkurnool,Telangana,0.49,87971,46.3,22.7,"Ministry of Rural Development (MoRD), Govt of India"
Nalgonda,Telangana,0.37,124752,37.9,19.1,"Ministry of Rural Development (MoRD), Govt of India"
Narayanpet,Telangana,0.51,60229,47.7,23.3,"Ministry of Rural Development (MoRD), Govt of India"
Nirmal,Telangana,0.46,67985,44.2,21.8,"Ministry of Rural Development (MoRD), Govt of India"
Nizamabad,Telangana,0.33,108007,35.1,17.9,"Ministry of Rural Development (MoRD), Govt of India"
Peddapalli,Telangana,0.36,59649,37.2,18.8,"Ministry of Rural Development (MoRD), Govt of India"
Rajanna Sircilla,Telangana,0.39,44852,39.3,19.7,"Ministry of Rural Development (MoRD), Govt of India"
Rangareddy,Telangana,0.19,96831,25.3,13.7,"Ministry of Rural Development (MoRD), Govt of India"
Sangareddy,Telangana,0.31,98659,33.7,17.3,"Ministry of Rural Development (MoRD), Govt of India"
Siddipet,Telangana,0.34,71687,35.8,18.2,"Ministry of Rural Development (MoRD), Govt of India"
Suryapet,Telangana,0.38,87048,38.6,19.4,"Ministry of Rural Development (MoRD), Govt of India"
Vikarabad,Telangana,0.45,86919,43.5,21.5,"Ministry of Rural Development (MoRD), Govt of India"
Wanaparthy,Telangana,0.44,52961,42.8,21.2,"Ministry of Rural Development (MoRD), Govt of India"
Warangal,Telangana,0.32,47922,34.4,17.6,"Ministry of Rural Development (MoRD), Govt of India"
Yadadri Bhuvanagiri,Telangana,0.35,53917,36.5,18.5,"Ministry of Rural Development (MoRD), Govt of India"
Krishna,Andhra Pradesh,0.31,112056,33.7,17.3,"Ministry of Rural Development (MoRD), Govt of India"
