district,state,road_coverage,logistics_park_access,grid_power_coverage,source_publisher
Dr. B.R. Ambedkar Konaseema,Andhra Pradesh,81.0,0,98.0,PM Gati Shakti National Master Plan Platform
East Godavari,Andhra Pradesh,83.0,1,98.2,PM Gati Shakti National Master Plan Platform
Eluru,Andhra Pradesh,77.0,0,97.0,PM Gati Shakti National Master Plan Platform
Guntur,Andhra Pradesh,85.0,1,98.5,PM Gati Shakti National Master Plan Platform
Kakinada,Andhra Pradesh,84.0,1,98.4,PM Gati Shakti National Master Plan Platform
Kurnool,Andhra Pradesh,69.0,0,94.8,PM Gati Shakti National Master Plan Platform
Nandyal,Andhra Pradesh,73.0,0,96.0,PM Gati Shakti National Master Plan Platform
NTR,Andhra Pradesh,89.0,1,99.0,PM Gati Shakti National Master Plan Platform
Palnadu,Andhra Pradesh,74.0,0,96.2,PM Gati Shakti National Master Plan Platform
Parvathipuram Manyam,Andhra Pradesh,58.0,0,91.0,PM Gati Shakti National Master Plan Platform
Prakasam,Andhra Pradesh,72.0,0,95.8,PM Gati Shakti National Master Plan Platform
Sri Potti Sriramulu Nellore,Andhra Pradesh,80.0,0,97.6,PM Gati Shakti National Master Plan Platform
Sri Sathya Sai,Andhra Pradesh,68.0,0,94.2,PM Gati Shakti National Master Plan Platform
Srikakulam,Andhra Pradesh,67.0,0,94.0,PM Gati Shakti National Master Plan Platform
Tirupati,Andhra Pradesh,85.0,1,98.6,PM Gati Shakti National Master Plan Platform
Visakhapatnam,Andhra Pradesh,90.0,1,99.2,PM Gati Shakti National Master Plan Platform
Vizianagaram,Andhra Pradesh,69.0,0,94.5,PM Gati Shakti National Master Plan Platform
West Godavari,Andhra Pradesh,82.0,0,98.0,PM Gati Shakti National Master Plan Platform
YSR Kadapa,Andhra Pradesh,75.0,0,96.5,PM Gati Shakti National Master Plan Platform
Adilabad,Telangana,62.0,0,92.0,PM Gati Shakti National Master Plan Platform
Bhadradri Kothagudem,Telangana,65.0,0,93.5,PM Gati Shakti National Master Plan Platform
Hanamkonda,Telangana,86.0,1,98.5,PM Gati Shakti National Master Plan Platform
Hyderabad,Telangana,93.0,1,99.5,PM Gati Shakti National Master Plan Platform
Jagtial,Telangana,76.0,0,97.0,PM Gati Shakti National Master Plan Platform
Jangaon,Telangana,73.0,0,96.0,PM Gati Shakti National Master Plan Platform
Jayashankar Bhupalpally,Telangana,60.0,0,91.5,PM Gati Shakti National Master Plan Platform
Jogulamba Gadwal,Telangana,68.0,0,94.5,PM Gati Shakti National Master Plan Platform
Kamareddy,Telangana,72.0,0,96.0,PM Gati Shakti National Master Plan Platform
Karimnagar,Telangana,84.0,1,98.2,PM Gati Shakti National Master Plan Platform
Khammam,Telangana,79.0,0,97.4,PM Gati Shakti National Master Plan Platform
Kumuram Bheem Asifabad,Telangana,56.0,0,90.0,PM Gati Shakti National Master Plan Platform
Mahabubabad,Telangana,69.0,0,95.0,PM Gati Shakti National Master Plan Platform
Mahabubnagar,Telangana,71.0,0,95.8,PM Gati Shakti National Master Plan Platform
Mancherial,Telangana,74.0,0,96.4,PM Gati Shakti National Master Plan Platform
Medak,Telangana,73.0,0,96.0,PM Gati Shakti National Master Plan Platform
Medchal-Malkajgiri,Telangana,91.0,1,99.2,PM Gati Shakti National Master Plan Platform
Mulugu,Telangana,54.0,0,89.0,PM Gati Shakti National Master Plan Platform
Nagarkurnool,Telangana,67.0,0,94.0,PM Gati Shakti National Master Plan Platform
Nalgonda,Telangana,77.0,0,97.0,PM Gati Shakti National Master Plan Platform
Narayanpet,Telangana,64.0,0,93.0,PM Gati Shakti National Master Plan Platform
Nirmal,Telangana,69.0,0,95.0,PM Gati Shakti National Master Plan Platform
Nizamabad,Telangana,81.0,0,97.8,PM Gati Shakti National Master Plan Platform
Peddapalli,Telangana,78.0,0,97.2,PM Gati Shakti National Master Plan Platform
Rajanna Sircilla,Telangana,75.0,0,96.5,PM Gati Shakti National Master Plan Platform
Rangareddy,Telangana,90.0,1,99.1,PM Gati Shakti National Master Plan Platform
Sangareddy,Telangana,83.0,1,98.0,PM Gati Shakti National Master Plan Platform
Siddipet,Telangana,80.0,0,97.5,PM Gati Shakti National Master Plan Platform
Suryapet,Telangana,76.0,0,97.0,PM Gati Shakti National Master Plan Platform
Vikarabad,Telangana,70.0,0,95.2,PM Gati Shakti National Master Plan Platform
Wanaparthy,Telangana,71.0,0,95.5,PM Gati Shakti National Master Plan Platform
Warangal,Telangana,82.0,0,98.0,PM Gati Shakti National Master Plan Platform
Yadadri Bhuvanagiri,Telangana,79.0,0,97.4,PM Gati Shakti National Master Plan Platform
Krishna,Andhra Pradesh,83.0,1,98.2,PM Gati Shakti National Master Plan Platform
