district,state,population,deprivation_index,road_coverage,water_coverage,electricity_coverage,mpi_score,lat,lng
Narayanpet,Telangana,566874,0.51,64.0,59.0,93.0,0.24,16.7441,77.4981
Nirmal,Telangana,709415,0.46,69.0,65.0,95.0,0.2,19.0964,78.3435
Nizamabad,Telangana,1571022,0.33,81.0,77.0,97.8,0.13,18.6725,78.0941
Peddapalli,Telangana,795332,0.36,78.0,74.0,97.2,0.14,18.6148,79.3789
Rajanna Sircilla,Telangana,552037,0.39,75.0,71.0,96.5,0.16,18.3846,78.8021
Ranga Reddy,Telangana,2446265,0.19,90.0,88.0,99.1,0.07,17.28,78.41
Sangareddy,Telangana,1527628,0.31,83.0,79.0,98.0,0.12,17.6193,78.0817
Siddipet,Telangana,1012065,0.34,80.0,76.0,97.5,0.13,18.1018,78.852
Suryapet,Telangana,1099560,0.38,76.0,72.0,97.0,0.15,17.1439,79.6239
Vikarabad,Telangana,927140,0.45,70.0,65.0,95.2,0.2,17.3364,77.9048
Wanaparthy,Telangana,577758,0.44,71.0,66.0,95.5,0.19,16.3622,78.0624
Warangal,Telangana,718847,0.32,82.0,78.0,98.0,0.12,17.9689,79.5941
Yadadri Bhuvanagiri,Telangana,739448,0.35,79.0,75.0,97.4,0.14,17.5103,78.8879
Krishna,Andhra Pradesh,1735079,0.31,83.0,80.0,98.2,0.11,16.1809,81.1303
